         8152944 function calls in 2.642 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 mpc.py:829(_refine_selected_sequence)
       40    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
       29    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       10    0.000    0.000    0.000    0.000 mpc.py:84(interaction_aware)
       10    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       10    0.000    0.000    0.000    0.000 mpc.py:341(<listcomp>)
       20    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:24(_maybe_view_as_subclass)
       30    0.000    0.000    0.000    0.000 numeric.py:1509(<listcomp>)
       10    0.000    0.000    0.000    0.000 mpc.py:342(<listcomp>)
       10    0.000    0.000    0.000    0.000 {built-in method numpy.promote_types}
       30    0.000    0.000    0.000    0.000 fromnumeric.py:2472(_any_dispatcher)
       20    0.000    0.000    0.000    0.000 fromnumeric.py:3730(_mean_dispatcher)
       30    0.000    0.000    0.000    0.000 numeric.py:1444(_moveaxis_dispatcher)
       30    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       10    0.000    0.000    0.000    0.000 surface_loads.py:248(patch_count)
       20    0.000    0.000    0.000    0.000 fromnumeric.py:3864(_std_dispatcher)
       20    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:363(_broadcast_to_dispatcher)
       20    0.000    0.000    0.000    0.000 {method '__exit__' of 'numpy.nditer' objects}
        9    0.000    0.000    0.000    0.000 fromnumeric.py:1443(_searchsorted_dispatcher)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       10    0.000    0.000    0.000    0.000 numeric.py:1518(_cross_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


