phase,method,condition,seed,target_crossed,target_reached,actual_crossing_time,T_reach,final_theta_deg,final_theta_error_signed_deg,planner_success,planner_status,planner_solve_time_s,planner_iterations,planned_alpha_peak,planned_crossing_time,planner_terminal_crossing_margin_deg,planner_F_tan_margin,planner_F_rad_margin,planner_delta_r_margin,planner_omega_margin,tracker_solver_success_count,tracker_solver_failure_count,tracker_solver_failure_rate,fallback_count,fallback_rate,tracker_solve_time_mean,tracker_solve_time_max,tracking_error_mean,tracking_error_max,alpha_abs_mean,alpha_abs_p95,alpha_abs_p99,alpha_abs_max,alpha_p95_severity,alpha_p99_severity,alpha_max_severity,alpha_violation_duration_s,alpha_integrated_violation,alpha_clipped_max,raw_omega_p95,raw_omega_max,delta_r_violation_count,delta_r_violation_max,force_violation_count,force_violation_max,action_magnitude_mean,action_magnitude_max,action_total_variation,runtime_s
phase2_regression,baseline_cem,noise,101,True,True,2.399999999999993,2.399999999999993,90.00932120541503,0.009321205695579357,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.355739658343485,8.219798107907557,9.765949658181274,1.03,2.2302279405602037,9.278904051282202,nan,nan,0,nan,0,nan,nan,nan,0.20281595666145205,40.44631070800824
phase2_regression,nmpc_base,noise,101,True,True,2.1799999999999975,2.1799999999999975,90.01979632598804,0.019796326268595416,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,73,0,0.0,0,0.0,0.06815502399994118,0.1394105000072159,nan,nan,nan,nan,nan,nan,2.7958381535900148,3.2836643219792627,3.5183306535186283,0.25,0.39974316407883675,3.447214538406638,nan,nan,0,nan,0,nan,nan,nan,0.08174568091869418,9.238839917001314
phase2_regression,nmpc_crossing_weighted,noise,101,True,True,1.280000000000001,1.280000000000001,90.21055927579914,0.2105592760796869,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,43,0,0.0,0,0.0,0.043715654093661176,0.10966262500733137,nan,nan,nan,nan,nan,nan,1.5945974571656607,23.70779906996193,24.713623815855954,0.09,0.9654222200748679,23.883464740286637,nan,nan,0,nan,0,nan,nan,nan,0.21163775717919578,2.9384222499938915
phase2_regression,oracle_planner_nmpc_tracker,noise,101,True,True,1.7200000000000013,1.7200000000000013,90.04586730869896,0.045867308979516686,True,Solve_Succeeded,0.05594504199689254,13,2.941564423690245,1.7999999999999998,0.477862262410852,27.89111292840151,0.6069202842606982,0.046928487726560775,0.02595656692330972,172,0,0.0,0,0.0,0.017805692145271296,0.052867041988065466,0.03322408960712058,0.0869990016718955,1.3125291434018302,2.879701164892937,2.9601789521987456,3.1789462217011697,0.0,0.004908724643931619,0.1789462217011697,0.02,0.0019647738114378253,0.017531159442612854,1.1742037787842825,1.177777689434928,0,0.0,0,0.0,4.123749979232533,7.146296487205803,14.63701050319243,1.7557355000026291
phase2_regression,oracle_planner_nmpc_tracker_with_cem_fallback,noise,101,True,True,1.7200000000000013,1.7200000000000013,90.04586730869896,0.045867308979516686,True,Solve_Succeeded,0.058460665997699834,13,2.941564423690245,1.7999999999999998,0.477862262410852,27.89111292840151,0.6069202842606982,0.046928487726560775,0.02595656692330972,172,0,0.0,0,0.0,0.017401518778696785,0.04747950000455603,0.03322408960712058,0.0869990016718955,1.3125291434018302,2.879701164892937,2.9601789521987456,3.1789462217011697,0.0,0.004908724643931619,0.1789462217011697,0.02,0.0019647738114378253,0.017531159442612854,1.1742037787842825,1.177777689434928,0,0.0,0,0.0,4.123749979232533,7.146296487205803,14.63701050319243,1.735764958008076
phase2_regression,baseline_cem,noise,102,True,True,2.299999999999995,2.299999999999995,90.10088571542713,0.10088571570768305,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.6134149811637695,8.932881434080999,10.746982346880856,1.04,2.5805111651846775,10.327892848595358,nan,nan,0,nan,0,nan,nan,nan,0.22276478375948575,38.946993584002485
phase2_regression,nmpc_base,noise,102,True,True,1.9900000000000015,1.9900000000000015,90.18177462740765,0.18177462768819738,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,67,0,0.0,0,0.0,0.06838540538842268,0.11945170800026972,nan,nan,nan,nan,nan,nan,2.861086157431646,3.113568900214061,3.310528869292696,0.6900000000000001,0.4622106311423855,3.2349453078293298,nan,nan,0,nan,0,nan,nan,nan,0.09564677376355477,8.704480999993393
phase2_regression,nmpc_crossing_weighted,noise,102,True,True,1.290000000000001,1.290000000000001,90.32742516858276,0.32742516886330797,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,43,0,0.0,0,0.0,0.03857015690774397,0.06708187500771601,nan,nan,nan,nan,nan,nan,1.4972941177701033,19.97571006105054,20.903004700514757,0.16,0.9569959579785023,20.1434787868154,nan,nan,0,nan,0,nan,nan,nan,0.21142338653870946,2.764907457996742
phase2_regression,oracle_planner_nmpc_tracker,noise,102,True,True,1.7200000000000013,1.7200000000000013,90.04586730869896,0.045867308979516686,True,Solve_Succeeded,0.057251083009759896,13,2.941564423690245,1.7999999999999998,0.477862262410852,27.89111292840151,0.6069202842606982,0.046928487726560775,0.02595656692330972,172,0,0.0,0,0.0,0.018135142685296583,0.059988875000271946,0.03322408960712058,0.0869990016718955,1.3125291434018302,2.879701164892937,2.9601789521987456,3.1789462217011697,0.0,0.004908724643931619,0.1789462217011697,0.02,0.0019647738114378253,0.017531159442612854,1.1742037787842825,1.177777689434928,0,0.0,0,0.0,4.123749979232533,7.146296487205803,14.63701050319243,1.7850478329928592
phase2_regression,oracle_planner_nmpc_tracker_with_cem_fallback,noise,102,True,True,1.7200000000000013,1.7200000000000013,90.04586730869896,0.045867308979516686,True,Solve_Succeeded,0.05697679199511185,13,2.941564423690245,1.7999999999999998,0.477862262410852,27.89111292840151,0.6069202842606982,0.046928487726560775,0.02595656692330972,172,0,0.0,0,0.0,0.01809441810541483,0.047743250004714355,0.03322408960712058,0.0869990016718955,1.3125291434018302,2.879701164892937,2.9601789521987456,3.1789462217011697,0.0,0.004908724643931619,0.1789462217011697,0.02,0.0019647738114378253,0.017531159442612854,1.1742037787842825,1.177777689434928,0,0.0,0,0.0,4.123749979232533,7.146296487205803,14.63701050319243,1.7653658339986578
phase2_regression,baseline_cem,noise,103,True,True,4.729999999999944,4.729999999999944,90.10728955711417,0.10728955739472561,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.010530147179815,15.912526475881482,48.22439048630797,1.44,5.498526232485821,47.64749097783575,nan,nan,0,nan,0,nan,nan,nan,0.1810220430412676,79.88842791599745
phase2_regression,nmpc_base,noise,103,True,True,2.1199999999999988,2.1199999999999988,90.00262422360507,0.0026242238856245565,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,71,0,0.0,0,0.0,0.07706503302836955,0.14835108300030697,nan,nan,nan,nan,nan,nan,2.8228436202555423,3.2218815113790322,3.4349602409286053,0.26,0.40537732497137596,3.3620504055112814,nan,nan,0,nan,0,nan,nan,nan,0.08414304330490065,9.918907915998716
phase2_regression,nmpc_crossing_weighted,noise,103,True,True,1.270000000000001,1.270000000000001,90.13994129198745,0.13994129226800123,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,43,0,0.0,0,0.0,0.04211271137166985,0.07115020799392369,nan,nan,nan,nan,nan,nan,0.0,23.030816979212325,24.01519847412449,0.06,0.9207353200061706,23.197852546244803,nan,nan,0,nan,0,nan,nan,nan,0.21550546081169344,2.924385833000997
phase2_regression,oracle_planner_nmpc_tracker,noise,103,True,True,1.7200000000000013,1.7200000000000013,90.04586730869896,0.045867308979516686,True,Solve_Succeeded,0.05700049998995382,13,2.941564423690245,1.7999999999999998,0.477862262410852,27.89111292840151,0.6069202842606982,0.046928487726560775,0.02595656692330972,172,0,0.0,0,0.0,0.020487587906668627,0.05350637499941513,0.03322408960712058,0.0869990016718955,1.3125291434018302,2.879701164892937,2.9601789521987456,3.1789462217011697,0.0,0.004908724643931619,0.1789462217011697,0.02,0.0019647738114378253,0.017531159442612854,1.1742037787842825,1.177777689434928,0,0.0,0,0.0,4.123749979232533,7.146296487205803,14.63701050319243,1.9260173750080867
phase2_regression,oracle_planner_nmpc_tracker_with_cem_fallback,noise,103,True,True,1.7200000000000013,1.7200000000000013,90.04586730869896,0.045867308979516686,True,Solve_Succeeded,0.05961424999986775,13,2.941564423690245,1.7999999999999998,0.477862262410852,27.89111292840151,0.6069202842606982,0.046928487726560775,0.02595656692330972,172,0,0.0,0,0.0,0.019644504298031638,0.054082624992588535,0.03322408960712058,0.0869990016718955,1.3125291434018302,2.879701164892937,2.9601789521987456,3.1789462217011697,0.0,0.004908724643931619,0.1789462217011697,0.02,0.0019647738114378253,0.017531159442612854,1.1742037787842825,1.177777689434928,0,0.0,0,0.0,4.123749979232533,7.146296487205803,14.63701050319243,1.8763852920092177
