row_type,condition,method,n,target_crossed_mean,crossing_time_mean,true_alpha_p95_mean,true_alpha_p99_mean,true_alpha_max_mean,alpha_violation_duration_mean,alpha_violation_integral_mean,state_tracking_rmse_mean,crossing_time_successful_only_mean,target_crossed_oracle,target_crossed_state_contribution,target_crossed_parameter_contribution,target_crossed_full_gap,target_crossed_interaction_residual,crossing_time_oracle,crossing_time_state_contribution,crossing_time_parameter_contribution,crossing_time_full_gap,crossing_time_interaction_residual,true_alpha_p95_oracle,true_alpha_p95_state_contribution,true_alpha_p95_parameter_contribution,true_alpha_p95_full_gap,true_alpha_p95_interaction_residual,true_alpha_p99_oracle,true_alpha_p99_state_contribution,true_alpha_p99_parameter_contribution,true_alpha_p99_full_gap,true_alpha_p99_interaction_residual,true_alpha_max_oracle,true_alpha_max_state_contribution,true_alpha_max_parameter_contribution,true_alpha_max_full_gap,true_alpha_max_interaction_residual,alpha_violation_duration_oracle,alpha_violation_duration_state_contribution,alpha_violation_duration_parameter_contribution,alpha_violation_duration_full_gap,alpha_violation_duration_interaction_residual,alpha_violation_integral_oracle,alpha_violation_integral_state_contribution,alpha_violation_integral_parameter_contribution,alpha_violation_integral_full_gap,alpha_violation_integral_interaction_residual,state_tracking_rmse_oracle,state_tracking_rmse_state_contribution,state_tracking_rmse_parameter_contribution,state_tracking_rmse_full_gap,state_tracking_rmse_interaction_residual
method_aggregate,parameter_mismatch_low_k,parameter_error_only,3,1.0,2.959999999999981,3.367422488042571,6.342585256070574,6.392647397170087,0.21,0.4188093812274006,0.6678782290185712,2.959999999999981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,parameter_mismatch_low_k,fixed_nominal_planner_tracker,3,0.0,nan,2.9524639790325637,6.045400587612744,6.372224191516235,0.35000000000000003,0.7400572972723839,2.116213751852471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,parameter_mismatch_low_k,full_adaptive_planner_tracker,3,1.0,3.4099999999999713,3.054626510944713,6.1248269584625445,6.372224191516235,0.26,0.39584495746739096,0.5818206429401561,3.4099999999999713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decomposition,parameter_mismatch_low_k,gap_decomposition,3,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.7200000000000013,0.0,1.2399999999999796,1.68999999999997,0.4499999999999904,2.879701164892937,0.00016759233390617467,0.48772132314963423,0.17492534605177612,-0.3129635694317643,2.9601789521987456,0.0005050026377713124,3.3824063038718286,3.164648006263799,-0.21826330024580098,3.1789462217011697,0.0,3.2137011754689175,3.1932779698150653,-0.02042320565385225,0.02,0.0,0.19,0.24000000000000002,0.05000000000000002,0.0019647738114378253,-1.8277238502673043e-06,0.41684460741596274,0.3938801836559531,-0.022962596036159355,0.03844230222815747,0.00019582168055801846,0.6294359267904137,0.5433783407119986,-0.08625340775897306
method_aggregate,parameter_mismatch_high_k,baseline_cem,3,0.6666666666666666,1.7949999999999986,7.314847651221591,10.04959734092286,11.878395430986982,0.9333333333333332,2.2543034713719545,nan,1.7949999999999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,parameter_mismatch_high_k,oracle_planner_tracker,3,1.0,1.7200000000000013,2.879701164892937,2.9601789521987456,3.1789462217011697,0.02,0.0019647738114378253,0.03844230222815747,1.7200000000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,parameter_mismatch_high_k,state_error_only,3,1.0,1.7200000000000013,2.879868757226843,2.960683954836517,3.1789462217011697,0.02,0.001962946087587558,0.03863812390871549,1.7200000000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,parameter_mismatch_high_k,parameter_error_only,3,1.0,2.9299999999999815,3.289715150300495,6.2325285157502215,6.338087261650443,0.18000000000000002,0.39581680053723445,0.6519993065391368,2.9299999999999815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,parameter_mismatch_high_k,fixed_nominal_planner_tracker,3,0.0,nan,3.450494541867504,5.996948004950453,6.338087261650443,1.49,0.9973506836609892,2.1359521892141005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,parameter_mismatch_high_k,full_adaptive_planner_tracker,3,1.0,3.0199999999999796,3.257151092225645,6.098198656427829,6.338087261650443,0.26,0.38548298446198376,0.6239787847783274,3.0199999999999796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decomposition,parameter_mismatch_high_k,gap_decomposition,3,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.7200000000000013,0.0,1.2099999999999802,1.2999999999999783,0.08999999999999808,2.879701164892937,0.00016759233390617467,0.41001398540755796,0.3774499273327079,-0.03273165040875625,2.9601789521987456,0.0005050026377713124,3.272349563551476,3.138019704229084,-0.13483486196016337,3.1789462217011697,0.0,3.1591410399492736,3.1591410399492736,0.0,0.02,0.0,0.16000000000000003,0.24000000000000002,0.07999999999999999,0.0019647738114378253,-1.8277238502673043e-06,0.3938520267257966,0.3835182106505459,-0.010331988351400423,0.03844230222815747,0.00019582168055801846,0.6135570043109794,0.5855364825501699,-0.028216343441367475
