method,input_source,condition,parameter,interval_level,sample_count,coverage,mean_interval_width,mean_error_over_predicted_std,calibration_label
windowed_nls_current,ukf_filtered,stronger_noise,m,0.9,108,0.9166666666666666,0.09994134779241436,0.7169853465907244,directional
windowed_nls_current,ukf_filtered,stronger_noise,m,0.95,108,0.9351851851851852,0.11908746055768173,0.7169853465907244,directional
windowed_nls_current,ukf_filtered,stronger_noise,k,0.5,108,0.0,34.28884879876292,15.614268310096964,overconfident
windowed_nls_current,ukf_filtered,stronger_noise,k,0.9,108,0.018518518518518517,83.61896888005538,15.614268310096964,overconfident
windowed_nls_current,ukf_filtered,stronger_noise,k,0.95,108,0.027777777777777776,99.63814655632883,15.614268310096964,overconfident
windowed_nls_current,ukf_filtered,stronger_noise,b_r,0.5,108,0.08333333333333333,5.732958373797078,3.523245896248779,overconfident
windowed_nls_current,ukf_filtered,stronger_noise,b_r,0.9,108,0.1574074074074074,13.980757145351758,3.523245896248779,overconfident
windowed_nls_current,ukf_filtered,stronger_noise,b_r,0.95,108,0.2037037037037037,16.659099580804078,3.523245896248779,overconfident
windowed_nls_huber,ukf_filtered,stronger_noise,m,0.5,108,0.5833333333333334,0.06644381466157714,0.8063923308568682,directional
windowed_nls_huber,ukf_filtered,stronger_noise,m,0.9,108,0.8518518518518519,0.16203411502864556,0.8063923308568682,directional
windowed_nls_huber,ukf_filtered,stronger_noise,m,0.95,108,0.9074074074074074,0.1930755559005709,0.8063923308568682,directional
windowed_nls_huber,ukf_filtered,stronger_noise,k,0.5,108,0.0,33.38206651435036,14.621573088259725,overconfident
windowed_nls_huber,ukf_filtered,stronger_noise,k,0.9,108,0.009259259259259259,81.40763189215352,14.621573088259725,overconfident
windowed_nls_huber,ukf_filtered,stronger_noise,k,0.95,108,0.027777777777777776,97.00317602467773,14.621573088259725,overconfident
windowed_nls_huber,ukf_filtered,stronger_noise,b_r,0.5,108,0.037037037037037035,9.08032886513859,3.2264897758263866,overconfident
windowed_nls_huber,ukf_filtered,stronger_noise,b_r,0.9,108,0.06481481481481481,22.143867857765063,3.2264897758263866,overconfident
