condition,seed,window_start,window_end,transitions,rank,raw_condition_number_H,physical_scale_condition_number_HS,column_normalized_geometric_condition_number,column_normalized_singular_values_json,physical_scaled_weighted_singular_values_json,weighted_residual_rms,physical_scaled_sigma_min_over_residual_rms,normalized_right_singular_directions_json,physical_right_singular_directions_json,normalized_weak_direction_json,physical_weak_direction_json,conditional_lambda_information_abs,conditional_lambda_information_ratio,corr_lambda_kappa,corr_lambda_beta,corr_kappa_beta,truth_lambda,truth_kappa,truth_beta
stronger_noise,102,171,240,70,3,27.152365208373823,89.6006947338338,3.767391095577291,"[1.5298149088284076, 0.7034028489193075, 0.40606745358195645]","[51.87658073534924, 0.584695430591104, 0.36269287087103624]",0.07489357684561496,4.842776725949257,"[[-0.5416062803111877, -0.6183686526875768, -0.5694583799548745], [0.77271527571483, -0.09946783602832188, -0.626910880646362], [-0.33101924385816783, 0.7795680592284385, -0.5316953086367912]]","[[-0.07956868195900303, -0.405115560735797, -0.910796468647649], [0.1122647436729831, -0.06444356360310378, -0.991586433165648], [-0.04896544085833716, 0.5142371527669867, -0.8562491087969969]]","[-0.33101924385816783, 0.7795680592284385, -0.5316953086367912]","[-0.04896544085833716, 0.5142371527669867, -0.8562491087969969]",0.1323279041430403,0.5008387833654524,0.7032276282646246,0.5111509719271483,0.7866208179119747,0.8333333333333334,375.0,15.0
stronger_noise,102,181,250,70,3,46.6545911696336,91.44185052450779,3.43097368751733,"[1.3712850973843491, 0.9797114808803608, 0.39967811539138265]","[51.86757089963007, 1.1274150951983184, 0.5450179191563558]",0.07284573824879256,7.4818092624023835,"[[-0.44085704466565606, -0.6987505130394271, -0.5633762390230894], [0.7951230686395795, -0.012813476800948227, -0.6063127250268218], [-0.41644251930589693, 0.7152506800691693, -0.5612415636557478]]","[[-0.026231486057624553, -0.44586890646000715, -0.8947138242987899], [0.04907247454300163, -0.00848067712434502, -0.9987592154056647], [-0.024737139555383945, 0.45563033503913286, -0.8898253040449822]]","[-0.41644251930589693, 0.7152506800691693, -0.5612415636557478]","[-0.024737139555383945, 0.45563033503913286, -0.8898253040449822]",0.8266608856228507,0.5412184837745454,0.5219024000257416,0.04164363055466817,0.6835778998651924,0.8333333333333334,375.0,15.0
stronger_noise,102,191,260,70,3,78.45916192300004,79.91183782588753,3.2330065804156978,"[1.2861665159038467, 1.0897302545184502, 0.3978236616327803]","[51.825617677475506, 1.7420335993052198, 0.5514015513711669]",0.07474391111446349,7.3772103058233816,"[[-0.5127447718974036, -0.7496307312566656, -0.4185051560584127], [0.6600713359061137, -0.03249616486133754, -0.7504997207090909], [-0.548997841896485, 0.6610580655471209, -0.511471996856231]]","[[-0.021902090171618805, -0.5564389234471353, -0.8305997970858814], [0.018923389969247216, -0.01618922178605243, -0.9996898591113315], [-0.020794550920458506, 0.4351152598635288, -0.9001345995382637]]","[-0.548997841896485, 0.6610580655471209, -0.511471996856231]","[-0.020794550920458506, 0.4351152598635288, -0.9001345995382637]",1.647250728426014,0.41148272340267256,0.5529240939866088,-0.1888597999009933,0.49442092634574164,0.8333333333333334,375.0,15.0
stronger_noise,102,201,270,70,3,72.98339826550468,68.83881048005411,3.1557276064375044,"[1.3225697537236638, 1.036900810452841, 0.4191013669955851]","[51.166640293400114, 1.7704246650672233, 0.6588335307237098]",0.07574275180699365,8.698304656299493,"[[-0.5214971215176524, -0.7237464903481217, -0.45192009244730347], [0.6638496260848668, -0.01141188441261064, -0.7477790066865584], [-0.5360451717866563, 0.6899715839097504, -0.4864101018701036]]","[[-0.021945842267505, -0.5627388943722772, -0.8263433407294071], [0.02042669645674867, -0.006487926315819727, -0.9997703020614207], [-0.02171288285133923, 0.5163776418797664, -0.8560856742668783]]","[-0.5360451717866563, 0.6899715839097504, -0.4864101018701036]","[-0.02171288285133923, 0.5163776418797664, -0.8560856742668783]",2.0036231585859725,0.45427812509201776,0.5870911648620102,-0.07568671819518716,0.5223441706231813,0.8333333333333334,375.0,15.0
stronger_noise,102,211,280,70,3,77.17010638504013,58.21050925276861,3.441232455007836,"[1.2804069091868766, 1.1054936022168775, 0.37207800575156463]","[51.02946814577468, 2.7360133440010763, 0.7189306538909123]",0.07975713880982754,9.013997550803902,"[[-0.35495498019619465, 0.5515557510717702, 0.7548464847196247], [0.7877315056740751, 0.6112830359542771, -0.07623729351817592], [0.5034739685449223, -0.5675555509500173, 0.6514558001763812]]","[[-0.011358894932292736, 0.41309246982168646, 0.9106182443167588], [0.053903668273967476, 0.9789882999785549, -0.19666291732736252], [0.018029434027605824, -0.47567300026614245, 0.8794373976164823]]","[0.5034739685449223, -0.5675555509500173, 0.6514558001763812]","[0.018029434027605824, -0.47567300026614245, 0.8794373976164823]",2.9148401119829948,0.4139784796050219,0.22795628715008404,-0.4672521878445531,0.5744241507618797,0.8333333333333334,375.0,15.0
stronger_noise,102,221,290,70,3,76.3786446121796,51.47643575508627,2.478711451325576,"[1.3219052908341773, 0.9839481011327951, 0.5333034186481218]","[52.041578929531944, 3.185765260743307, 0.9393202983225908]",0.08141385524573626,11.537597568465278,"[[-0.4790542257776619, 0.5304731920197556, 0.6993605946240726], [-0.7453345535427902, -0.6666728721704183, -0.004866703937458041], [-0.46366308032852344, 0.5235890316464018, -0.7147524563650332]]","[[-0.013879114515411056, 0.41375797377966755, 0.9102811155428921], [-0.04148836350960055, -0.99906486046196, -0.012170467674650073], [-0.013220430112973452, 0.4019198542869766, -0.9155794072376047]]","[-0.46366308032852344, 0.5235890316464018, -0.7147524563650332]","[-0.013220430112973452, 0.4019198542869766, -0.9155794072376047]",6.633458340245732,0.6844560314998475,-0.03204365996270505,-0.48767820723166483,0.5449875768450442,0.8333333333333334,375.0,15.0
stronger_noise,102,231,300,70,3,80.43020668517522,49.416871076101636,2.2556070832943056,"[1.3578501021213991, 0.8909840839237941, 0.6019887560107606]","[52.52120009047577, 3.4096846271489247, 1.010799035632305]",0.08450929787156106,11.960802670122026,"[[-0.52283955737563, 0.5443926218679643, 0.6559538630871679], [-0.7343292523752846, -0.678428183742259, -0.02226541286694225], [0.4328964614653381, -0.49332734848161747, 0.7544725183138785]]","[[-0.014352793268722868, 0.43994419475482754, 0.8979104091316192], [-0.03668656949803759, -0.9977862746351361, -0.055467519939169964], [0.010733978120598349, -0.3601050662831706, 0.9328500002416786]]","[0.4328964614653381, -0.49332734848161747, 0.7544725183138785]","[0.010733978120598349, -0.3601050662831706, 0.9328500002416786]",8.776138566442103,0.7436868003742831,-0.20669133042822252,-0.5009929314303847,0.535508130938599,0.8333333333333334,375.0,15.0
stronger_noise,102,241,310,70,3,85.3816883962887,48.24762070821661,2.252814266094246,"[1.4029630935190607, 0.8024115369307802, 0.6227602135844997]","[53.02892406399801, 3.520706111475747, 1.0499223222859964]",0.08958537012732212,11.719796667623374,"[[-0.5498284162200151, 0.5571746309572448, 0.6222902404301772], [0.7244512937695334, 0.6889338282028393, 0.023248727135690494], [0.41576319663077327, -0.46360178059994395, 0.7824412778936976]]","[[-0.014787167277718002, 0.4738644026247225, 0.88047366093996], [0.03318212351661953, 0.9978779814591879, 0.05602214560211341], [0.009514312512762562, -0.3354914149721077, 0.9419952167274643]]","[0.41576319663077327, -0.46360178059994395, 0.7824412778936976]","[0.009514312512762562, -0.3354914149721077, 0.9419952167274643]",9.809869952506027,0.7070024459660703,-0.3563929581771539,-0.5364518207618819,0.552090052371295,0.8333333333333334,375.0,15.0
stronger_noise,102,251,320,70,3,73.05903836627073,42.652547623634796,2.051057487748932,"[1.3987411643127239, 0.7605605720192001, 0.6819609750908856]","[54.24197876957963, 3.1580373931668366, 1.216902596119631]",0.0886138671755344,13.732642924939498,"[[-0.5988777202234027, 0.5672003053509422, 0.5653576654029003], [-0.01618301524193372, 0.6972400450255347, -0.7166550283298582], [0.8006769549810332, 0.4383379212691824, 0.408382517426631]]","[[-0.018328915420575402, 0.5210029356366453, 0.8533580678223549], [-0.0003939910596873059, 0.5094649957647684, -0.860491291566306], [0.03326451029090712, 0.5465601362592778, 0.8367589197656311]]","[0.8006769549810332, 0.4383379212691824, 0.408382517426631]","[0.03326451029090712, 0.5465601362592778, 0.8367589197656311]",8.366694387452863,0.64010903686985,-0.5078855577809508,-0.503645472935266,0.42159614701815196,0.8333333333333334,375.0,15.0
stronger_noise,102,261,330,70,3,67.63147817919189,43.05634860777662,2.6036263114318583,"[1.4469136364861876, 0.7730491127255225, 0.5557301484215148]","[54.645926645504375, 2.4147714171022887, 1.226949772124721]",0.09124265577125477,13.44710718636558,"[[-0.6096568675515253, 0.5986046522278419, 0.5196065570972394], [-0.31036153327830446, 0.4229158963842735, -0.8513623571938252], [-0.7293793406098105, -0.6803047956002303, -0.07204972293442242]]","[[-0.021336450915454767, 0.5674187903831275, 0.8231528850599267], [-0.007719470768694191, 0.28490532271583174, -0.9585245781195384], [-0.038948864196077695, -0.9839471841657165, -0.17415775822567617]]","[-0.7293793406098105, -0.6803047956002303, -0.07204972293442242]","[-0.038948864196077695, -0.9839471841657165, -0.17415775822567617]",5.23833059762521,0.4851312132085602,-0.6892258664706314,-0.4890661682506964,0.451145701812033,0.8333333333333334,375.0,15.0
