condition,seed,window_start,window_end,phase,optimizer_success,optimizer_cost,inverse_mass,state_rmse_to_true,state_minus_measurement_rms,measurement_minus_true_rms,measurement_cost,process_cost,arrival_cost,inverse_mass_prior_cost,total_cost,measurement_residual_rms,process_residual_rms_weighted,process_residual_rms_raw,state_bound_hit_count,parameter_bound_hit
stronger_noise,101,10,80,after,False,0.021929725027577007,0.8340018815582158,0.0053875891970978545,0.038816694644879086,0.03930331074627334,0.021876432932894332,6.247679361555836e-06,2.314494303088748e-05,2.3899472290236216e-05,0.021929725027577014,0.012412066179785238,0.00021124933409118776,5.065093005358741e-06,0,0
stronger_noise,102,0,70,before,False,0.02263478300701414,1.0526315789473684,0.02844080740002483,0.02428238316213342,0.03718059962652217,0.013939696898948207,638.7602139984547,3.851859888774471e-33,0.0,638.7741536953537,0.00990792004257492,2.1360180142339202,0.06207271277114633,0,0
stronger_noise,102,0,70,after,False,0.02263478300701414,0.8327273541349667,0.003311681399907751,0.03707072431234531,0.03718059962652217,0.022583217652426595,1.2026563058929166e-05,1.5359857483439376e-05,2.4178934045171647e-05,0.02263478300701413,0.012610977124361666,0.0002930938789014435,6.324309153714771e-06,0,0
stronger_noise,102,10,80,before,False,0.02072941485807284,1.0526315789473684,0.02367150859526715,0.02148285070444686,0.034842789239029504,0.013613664542391175,625.7702979828929,0.0,0.0,625.7839116474353,0.00979136747646072,2.1141872771197323,0.0624780089410723,0,0
stronger_noise,102,10,80,after,False,0.02072941485807284,0.8333825707986311,0.0034292474602471102,0.034756987154958875,0.034842789239029504,0.020688618543844566,8.911753038149842e-06,7.849497403007724e-06,2.403506378710253e-05,0.020729414858072826,0.01207039754057992,0.0002523001760679675,4.916988204421136e-06,0,0
stronger_noise,103,0,70,before,False,0.016994459091067934,1.0526315789473684,0.0297663842075001,0.02041795498678318,0.032408145170684,0.010633551239840267,543.5947717765052,0.0,0.0,543.6054053277451,0.008653563639382734,1.9704871982338805,0.058304475162909646,0,0
stronger_noise,103,0,70,after,False,0.016994459091067934,0.8346956946679607,0.007793535043453187,0.031023371979985406,0.032408145170684,0.016956192458647837,4.9830248688194345e-06,9.535582722951394e-06,2.3748024828323686e-05,0.01699445909106793,0.010927479400429716,0.0001886611639349278,4.933513401240536e-06,0,0
stronger_noise,103,10,80,before,False,0.017060846655915913,1.0526315789473684,0.025721822483643807,0.018776194943190456,0.03150112766322082,0.010389394570880598,568.8090859602802,0.0,0.0,568.8194753548511,0.00855363960540536,2.015669130232794,0.0605729651806289,0,0
stronger_noise,103,10,80,after,False,0.017060846655915913,0.8340875029161049,0.005096043418611995,0.030678769544503468,0.03150112766322082,0.01702867702666235,5.138285963339436e-06,3.1505867060410906e-06,2.388075658417933e-05,0.017060846655915906,0.010950810963172698,0.0001915777716627941,4.7182742661182e-06,0,0
mass_mismatch,101,0,70,before,False,0.0021749835191411278,1.5384615384615383,0.04436372349768077,0.04436372349768077,0.0,0.058433155389822376,4167.548931796782,3.851859888774471e-33,0.0,4167.607364952172,0.0202854897474654,5.456024803434392,0.16009564579979912,0,0
mass_mismatch,101,0,70,after,False,0.0021749835191411278,0.8335059537608338,0.0021602271635662697,0.0021602271635662697,0.0,0.0019241464177041083,1.99584062644085e-06,3.6007261022364704e-07,0.00024848118820035606,0.002174983519141129,0.0036810768648916034,0.00011939851119079123,1.1672308997767292e-06,0,0
mass_mismatch,101,10,80,before,False,0.002622399296693448,1.5384615384615383,0.03869465666400184,0.03869465666400184,0.0,0.06145634086768376,4669.65413253689,3.851859888774471e-33,0.0,4669.715588877758,0.020803632684485953,5.775350411469722,0.1676333113488517,0,0
mass_mismatch,101,10,80,after,False,0.002622399296693448,0.8337840055523016,0.0017428258727820024,0.0017428258727820024,0.0,0.002352438965195952,2.4544471172296216e-06,1.922067168674144e-05,0.00024828521269352414,0.0026223992966934472,0.004070193064940162,0.00013240757200050428,1.0683244906105832e-06,0,0
mass_mismatch,102,0,70,before,False,0.0021749835191411278,1.5384615384615383,0.04436372349768077,0.04436372349768077,0.0,0.058433155389822376,4167.548931796782,3.851859888774471e-33,0.0,4167.607364952172,0.0202854897474654,5.456024803434392,0.16009564579979912,0,0
