method,condition,base_condition,condition_seed,true_param_overrides,mpc_overrides,solver_safety_mode,runtime_filter_enabled,alpha_constraint_mode,alpha_soft_weight,omega_soft_weight,target_reached,final_theta_deg,T_reach,done_reason,alpha_violation_count,alpha_mean_severity,alpha_max_severity,alpha_p90_severity,alpha_p95_severity,alpha_p99_severity,omega_violation_count,omega_mean_severity,omega_max_severity,omega_p90_severity,omega_p95_severity,omega_p99_severity,delta_r_violation_count,delta_r_mean_severity,delta_r_max_severity,delta_r_p95_severity,F_tan_violation_count,F_rad_violation_count,mean_feasible_ratio_excluding_alpha,original_alpha_feasibility_ratio,mean_action_magnitude,max_action_magnitude,action_smoothness,mean_action_diff_vs_baseline,max_action_diff_vs_baseline,selected_predicted_horizon_alpha_violation_mean,selected_predicted_horizon_alpha_violation_max,executed_true_alpha_violation_mean,executed_true_alpha_violation_max,selected_predicted_horizon_omega_violation_mean,selected_predicted_horizon_omega_violation_max,executed_true_omega_violation_mean,executed_true_omega_violation_max,runtime_s
alpha100_omega0,model_mismatch_heavy,clean,205,"{'m': 1.5, 'k': 540.0, 'b_r': 10.8}",{},soft_penalty,False,soft,100.0,0.0,True,90.04939987342216,4.319999999999952,target_reached,146,0.7713138059543817,14.922476367539431,2.7183241679790573,4.153942372368782,7.989620784936811,30,0.014753076193455483,0.4014312446347905,0.0,0.14062539873147606,0.30164011876319563,0,0.0,0.0,0.0,0,0,0.031304253472222224,0.0,7.113866586428098,11.348601481625291,0.2565723638507334,1.1571681470166895,9.22818613043527,10.4542094776421,24.9098929298825,0.2571046019847939,4.9741587891798105,0.7320938037154336,4.901223139048781,0.012294230161212902,0.33452603719565877,72.70730141701642
alpha100_omega0,larger_target,clean,206,{'theta_target': 1.8325957145940461},{'target_theta': 1.8325957145940461},soft_penalty,False,soft,100.0,0.0,True,105.16782414197068,3.049999999999979,target_reached,160,1.6100365505814118,25.38805797837422,4.817432002721358,5.394110486235176,15.309473200442657,17,0.003902572686398779,0.17299438824410696,0.0,0.007146124545543531,0.10479706642719827,0,0.0,0.0,0.0,0,0,0.01519097222222222,0.0,3.2277238867877958,10.826003083775912,0.321695067942698,0.6194410043011738,4.525749408512601,14.011135171377031,50.036979335097215,0.5366788501938039,8.462685992791407,1.5212278802134223,4.890629222807879,0.0032521439053323164,0.14416199020342246,50.676743041025475
alpha100_omega0,worse_initial_state,clean,207,"{'theta_init': 0.04, 'omega_init': -0.18, 'r_init': 0.33, 'r_dot_init': -0.03}",{},soft_penalty,False,soft,100.0,0.0,True,90.13194831526573,2.020000000000001,target_reached,90,0.9767038352798899,6.9997265740888555,3.4064346584233087,4.5082597921850756,6.42065115541494,27,0.02711295827914731,0.457287603133288,0.10799284890313979,0.1884761005087933,0.4154093822113368,0,0.0,0.0,0.0,0,0,0.012254901960784314,0.0,4.142414393462126,8.158138302206876,0.20532031350636834,0.45755646593855803,1.3387666847078097,9.262574378386642,26.165869984835656,0.3255679450932966,2.333242191362952,0.37587998685276525,4.757983809548899,0.022594131899289428,0.38107300261107335,33.90582454192918
alpha100_omega0,combined_stress,noise_bias,208,"{'m': 1.32, 'k': 495.0, 'b_r': 14.4, 'theta_init': 0.04, 'omega_init': -0.18, 'r_init': 0.33, 'r_dot_init': -0.03}",{},soft_penalty,False,soft,100.0,0.0,True,90.07657384112535,2.010000000000001,target_reached,96,1.1650510626565422,10.903854375969965,3.8309400449892514,5.298007164914179,7.463092304906125,25,0.023335284356808993,0.4341365110465081,0.018508373596047525,0.2470449696448539,0.3995095683891987,0,0.0,0.0,0.0,0,0,0.01597481343283582,0.0,4.493699869410145,9.219302291012454,0.23266681134421136,0.90871390352146,2.788688974873671,9.36758277483794,25.61038637730364,0.38835035421884734,3.6346181253233216,0.4094493249317902,5.031013762489971,0.019446070297340832,0.3617804258720901,33.581690083956346
alpha200_omega0,clean,clean,201,{},{},soft_penalty,False,soft,200.0,0.0,True,90.00098337303204,3.139999999999977,target_reached,73,0.6460521111996569,7.896744286389515,2.8810179028792513,4.1734507206065246,7.432413387152994,22,0.021383336682857558,0.480062211413689,0.0,0.20220498436934536,0.4596738491740741,0,0.0,0.0,0.0,0,0,0.01969246031746032,0.000818452380952381,2.696212978282421,8.465669052466604,0.12631877022118357,0.4924601426280025,1.9454669411129752,5.6885713725184015,19.97302356153392,0.21535070373321902,2.6322480954631717,0.23166086013570017,3.667560816927673,0.017819447235714634,0.4000518428447408,52.72237116692122
alpha200_omega0,noise,noise,202,{},{},soft_penalty,False,soft,200.0,0.0,True,90.04360494448115,1.8700000000000014,target_reached,55,0.8585025393453626,7.875082482512132,3.3877850550490134,3.837922251755871,6.955043141740128,14,0.015665690592460552,0.3693243213977777,0.0,0.13861876107603685,0.33024634267834313,0,0.0,0.0,0.0,0,0,0.012442129629629631,0.0,4.048399138150708,7.786210741715428,0.2004528942635202,0.34039411222233756,0.7943312846880078,9.06291922826706,21.17576393784492,0.2861675131151209,2.625027494170711,0.3619246372921185,3.3477018043973,0.013054742160383794,0.3077702678314814,31.55148633394856
alpha200_omega0,noise_bias,noise_bias,203,{},{},soft_penalty,False,soft,200.0,0.0,True,90.18662782558813,1.8500000000000014,target_reached,65,1.0995999390810645,7.279557241377656,4.831528894342543,5.379225866812758,6.69653114400598,27,0.022829384739903463,0.43115695716854985,0.042926400338199056,0.19739888552564389,0.3850745160582226,0,0.0,0.0,0.0,0,0,0.012306787634408605,0.0,4.108030763339564,8.001628437248563,0.20167507794193973,0.44410633789645304,1.737055064054459,9.04477967844741,23.080284625033006,0.3665333130270215,2.4265190804592187,0.4137528172941525,4.604192046807607,0.019024487283252886,0.3592974643071249,31.049079874996096
alpha200_omega0,model_mismatch_light,clean,204,"{'m': 1.32, 'k': 495.0, 'b_r': 14.4}",{},soft_penalty,False,soft,200.0,0.0,False,87.95603398869049,nan,max_time,74,0.2692646119184912,11.39168111406417,0.0,2.300038149388109,6.703930541751115,58,0.022439112330340388,0.5285751804844365,0.0,0.2595852866509059,0.4354910579805286,0,0.0,0.0,0.0,0,0,0.0371410736579276,0.0,1.7484550857050674,9.830254195032177,0.04846151231454074,0.9682726698589952,3.1178494115227253,3.618694474884797,23.97460312646662,0.08975487063949707,3.79722703802139,0.0865999975837408,4.346171725691074,0.018699260275283656,0.4404793170703638,134.04264870798215
alpha200_omega0,model_mismatch_heavy,clean,205,"{'m': 1.5, 'k': 540.0, 'b_r': 10.8}",{},soft_penalty,False,soft,200.0,0.0,False,17.824774427788626,nan,max_time,270,0.5933461691977819,7.012795438273345,2.395309851016648,3.0169200921253516,5.690600491814327,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.034380852059925096,0.0,8.039432475482409,10.062230350185242,0.22466596113755924,0.1799347136401358,1.577769479949881,10.254085716700764,24.9098929298825,0.19778205639926064,2.3375984794244484,0.9502817435240609,4.901223139048781,0.0,0.0,135.02556683309376
alpha200_omega0,larger_target,clean,206,{'theta_target': 1.8325957145940461},{'target_theta': 1.8325957145940461},soft_penalty,False,soft,200.0,0.0,True,105.08559645116432,3.2999999999999736,target_reached,167,1.5442796541975663,25.38805797837422,4.456306260303908,5.216751994179299,15.20935976881679,17,0.0036078163286632813,0.1729943844990698,0.0,0.0008796529188875857,0.10126636460198885,0,0.0,0.0,0.0,0,0,0.015459280303030303,0.0,3.0680810932553806,10.826003083775912,0.3122588070468547,0.5144527725523792,4.525749408512601,14.009936707531491,50.036979335097215,0.5147598847325221,8.462685992791407,1.5791290724905587,4.890629222807879,0.0030065136072194017,0.14416198708255817,54.85386708297301
alpha200_omega0,worse_initial_state,clean,207,"{'theta_init': 0.04, 'omega_init': -0.18, 'r_init': 0.33, 'r_dot_init': -0.03}",{},soft_penalty,False,soft,200.0,0.0,True,90.01857379588105,2.099999999999999,target_reached,93,1.0609711854302504,6.676029730661334,3.8161296618292067,4.684467821268992,5.645231773062384,27,0.030831733170875262,0.507293722187286,0.07895182125747646,0.2424201225585152,0.4794848459730719,0,0.0,0.0,0.0,0,0,0.013355654761904763,0.0,4.001091398657346,7.9209243040087465,0.20785292893356075,0.4911599306212984,1.9529167174839626,9.394664492928264,24.32300243784083,0.35365706181008344,2.225343243553778,0.3639557556283163,4.523622998615178,0.025693110975729388,0.422744768489405,35.13832008396275
alpha200_omega0,combined_stress,noise_bias,208,"{'m': 1.32, 'k': 495.0, 'b_r': 14.4, 'theta_init': 0.04, 'omega_init': -0.18, 'r_init': 0.33, 'r_dot_init': -0.03}",{},soft_penalty,False,soft,200.0,0.0,True,90.13464602243526,1.9100000000000015,target_reached,90,1.2242341707018183,10.903854375969965,4.036526319125178,5.173335251309511,7.779449938360665,21,0.024533576164209665,0.4376730682682237,0.021204141845894486,0.2612773290703398,0.4039612359801853,0,0.0,0.0,0.0,0,0,0.0150146484375,0.0,4.720909778125755,9.26620351072176,0.23526765384388554,0.876217518266893,2.534199097118024,9.631467624934887,25.61038637730364,0.408078056900606,3.6346181253233216,0.45733507426172865,5.031013762489971,0.02044464680350806,0.36472755689018643,32.09120420797262
