case,alignment,quantity,bias,component_rmse,combined_rmse,peak_norm
noise_bias_delay_100hz,aligned,cuff_position_mm,"[0.39756924243566977, 0.005630210903901961, -0.40209142366864964]","[0.772361865012457, 0.15013767175210382, 1.053948425530077]",0.7593618932327308,4.7781783151218145
noise_bias_delay_100hz,aligned,cuff_orientation_deg,"[-0.00028233326709460924, -0.011256276057109101, 0.0011159552665826313]","[0.024936808330122892, 0.09774946814538003, 0.02535104806444708]",0.06005408276535372,0.43548424499683364
noise_bias_delay_100hz,aligned,cuff_force_n,"[1.8456509945275437, -1.2030824788729737, 0.9215580197377202]","[3.6351214896901722, 1.6513163473985253, 1.9822128468990918]",2.5735916339106515,45.663137387569414
noise_bias_delay_100hz,aligned,cuff_moment_nm,"[0.03539348883438375, -0.03076646893639229, 0.017975853412465177]","[0.42285966203574477, 0.5842735480254291, 0.14974773068885688]",0.4252882377657413,11.317654424530142
noise_bias_delay_100hz,aligned,robot_q_deg,"[-0.02991783624169894, 0.024638432119064142, 0.02519791289204992, -0.039450197855984095, -0.009293696080504624, 0.03083420583473026]","[0.05097017330555327, 0.09961901645226949, 0.0682529726495192, 0.12493871600843459, 0.0916052106532915, 0.05064497006996432]",0.08538782666093706,0.7718443401199397
noise_bias_delay_100hz,aligned,robot_dq_deg_s,"[0.010012586059468094, -0.015149961451195362, -0.0195425029236491, 0.04826699122664447, -0.02727595795628417, -0.003672747577799806]","[0.4214238052245558, 0.6573251191557918, 0.8405582151822464, 2.1667877076632034, 1.200515173698656, 0.270240548261496]",1.1199291685399297,22.383565266612298
noise_bias_delay_100hz,arrival_aligned,human_q_deg,"[-0.11420935900008757, -0.08578855416427979]","[0.23379987007911882, 0.21978775439773318]",0.22690200112847309,0.9027154911491752
noise_bias_delay_100hz,arrival_aligned,human_dq_deg_s,"[0.08972318475418549, -0.016134393239313698]","[6.03974736410281, 2.5017385551112383]",4.622620686381098,48.88606626331413
noise_bias_delay_100hz,arrival_aligned,cuff_position_mm,"[0.7298574201920476, 0.00562549642443185, -0.7285798758905715]","[1.4073444134088606, 0.15018532675563995, 1.9273384402745009]",1.38055633637139,8.852343390327379
noise_bias_delay_100hz,arrival_aligned,cuff_orientation_deg,"[-0.00029785974155187604, -0.022081714655793942, 0.0011187439064169217]","[0.025124927945945973, 0.17650205124429577, 0.025420923892730696]",0.10397188637526494,0.8556687372719689
noise_bias_delay_100hz,arrival_aligned,cuff_force_n,"[1.8610598201044157, -1.2204919077066774, 0.9481119516845238]","[6.679364079265224, 2.5095990070356584, 3.400274337718592]",4.563399947818166,76.47234461302774
noise_bias_delay_100hz,arrival_aligned,cuff_moment_nm,"[0.04143366757576939, -0.02605924123436515, 0.017420281480975342]","[0.8592534567248337, 1.1579066410710204, 0.28935018283474934]",0.8490755405412902,18.960428256814463
