setting,case,candidate_index,fit_end_time_s,reference_epoch,parameter_identification_status,active_bound_count,rank,rrqr_rank,condition_number,control_model_status,decision_time_s,decision_reason,decision_block_count,look_count,final_delta_prior_mean_nms2,final_delta_prior_upper_nms2,final_delta_last_mean_nms2,final_delta_last_upper_nms2,oracle_improvement_vs_last_valid_nm,proposed_model_distance_to_truth_span_l2,reference_model_distance_to_truth_span_l2
sensitivity_moving_block_bootstrap_l2,noise_200hz,24,17.379999999998258,0,identified_boundary_pressured,2,11,11,542.2978128958299,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,nan,0.4275964862689851,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,25,17.87999999999887,0,identified_boundary_pressured,2,11,11,486.67896880394505,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,nan,0.4180257514332172,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,26,18.37999999999948,1,identified_boundary_pressured,2,11,11,416.36970332177236,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,0,,,,,,,
sensitivity_moving_block_bootstrap_l2,noise_200hz,27,18.88000000000009,1,identified_boundary_pressured,2,11,11,391.150860712569,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,0,,,,,,,
sensitivity_moving_block_bootstrap_l2,noise_200hz,28,19.380000000000702,1,identified_boundary_pressured,2,11,11,391.150860712569,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,0,,,,,,,
sensitivity_moving_block_bootstrap_l2,noise_200hz,29,19.880000000001314,1,identified_boundary_pressured,2,11,11,388.7663423326971,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,0,,,,,,,
sensitivity_moving_block_bootstrap_l2,noise_200hz,30,20.380000000001925,1,identified_boundary_pressured,2,11,11,393.8795281853344,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,0,,,,,,,
sensitivity_moving_block_bootstrap_l2,noise_200hz,31,20.880000000002536,1,identified_boundary_pressured,2,11,11,404.9368632302295,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,0,,,,,,,
sensitivity_moving_block_bootstrap_l2,noise_200hz,32,21.380000000003147,1,identified_boundary_pressured,3,11,11,409.7396151343902,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,0,,,,,,,
sensitivity_moving_block_bootstrap_l2,noise_200hz,33,21.880000000003758,1,identified_boundary_pressured,3,11,11,409.6075208441272,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,0,,,,,,,
sensitivity_moving_block_bootstrap_l2,noise_200hz,34,22.38000000000437,1,identified_boundary_pressured,3,11,11,409.6075208441272,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,0,,,,,,,
sensitivity_moving_block_bootstrap_l2,noise_200hz,35,22.88000000000498,1,identified_boundary_pressured,3,11,11,409.6075208441272,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,0,,,,,,,
sensitivity_moving_block_bootstrap_l2,noise_bias_drift_200hz,0,5.380000000000131,0,identified_boundary_pressured,2,11,11,6513.780311950414,promoted,17.899999999998894,upper_bounds_below_zero_against_both_references,8,1,-0.834767773053991,-0.6182827741920691,-0.834767773053991,-0.6182827741920691,0.32567511911525937,0.4700588009731886,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_bias_drift_200hz,1,5.880000000000298,0,identified_boundary_pressured,2,11,11,6513.780311950414,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.33182789771852583,0.4705409383699816,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_bias_drift_200hz,2,6.380000000000465,0,identified_boundary_pressured,3,11,11,4092.7586867844643,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.35577484372795,0.4517326282328161,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_bias_drift_200hz,3,6.880000000000632,0,identified_boundary_pressured,3,11,11,4059.9170662682823,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.46601486943120474,0.43462564870475534,0.46038359121476413
