condition,seed,update_index,step,time,window_start,window_end,solver_success,solver_status,iterations,solve_time_s,lambda_hat,m_hat,current_state_error,full_window_state_rmse,alpha_prediction_error,arrival_prior_error_shifted_previous,warm_start_to_final_rms,process_residual_rms,process_residual_max,state_bound_hits,parameter_bound_hit,current_is_final_window_state,fallback_applied,failed_solution_handling_ok,arrival_shift_consistent,deque_alignment_ok,control_measurement_alignment_ok,measurement_cost,process_cost,arrival_cost,parameter_prior_cost,total_cost,abnormal,event_role
noise_bias,103,1,10,0.1,0,10,True,`ftol` termination condition is satisfied.,41,0.373150125000393,0.8380790489959091,1.1932048667701287,0.014841759761560014,0.013126758151237084,0.06775624130309676,nan,0.03209659072764632,1.366500903391226e-06,4.374314667932033e-06,0.0,False,True,False,True,True,True,True,0.001814550057954985,3.9494825970971356e-07,1.3282643369452178e-05,2.30163940542859e-05,0.001851244043638433,False,context
noise_bias,103,2,20,0.2,0,20,False,The maximum number of function evaluations is exceeded.,45,0.7717237920005573,0.8380790489959091,1.1932048667701287,0.012140133285088202,nan,0.26549680060623526,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,first_divergence
noise_bias,103,3,30,0.3,0,30,False,The maximum number of function evaluations is exceeded.,45,1.1210341669939226,0.8380790489959091,1.1932048667701287,0.030599401782219784,nan,0.1521624181425154,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
noise_bias,103,4,40,0.4,0,40,False,The maximum number of function evaluations is exceeded.,45,1.359356500004651,0.8380790489959091,1.1932048667701287,0.04293092710798739,nan,0.06945949120724038,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
stronger_noise,101,1,10,0.1,0,10,True,Both `ftol` and `xtol` termination conditions are satisfied.,26,0.2414131669938797,0.8672387226406837,1.1530850432451485,0.1012021307079451,0.02811759306927771,1.2200169427354357,nan,0.03426083613391457,1.9935430528173406e-06,6.633152524235242e-06,0.0,False,True,False,True,True,True,True,0.002676657617338549,3.896450644681855e-07,7.6034541519090615e-06,1.718525558477551e-05,0.0027018359721397017,False,context
stronger_noise,101,2,20,0.2,0,20,False,The maximum number of function evaluations is exceeded.,45,0.7771777500020107,0.8672387226406837,1.1530850432451485,0.2289235666363152,nan,1.1771956054313915,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,first_divergence
stronger_noise,101,3,30,0.3,0,30,False,The maximum number of function evaluations is exceeded.,45,1.1297893330047373,0.8672387226406837,1.1530850432451485,0.34051767663993765,nan,0.9056926486871673,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
stronger_noise,101,4,40,0.4,0,40,False,The maximum number of function evaluations is exceeded.,45,1.3352567500114674,0.8672387226406837,1.1530850432451485,0.4149146080071672,nan,0.5762336557182679,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
stronger_noise,102,1,10,0.1,0,10,True,`ftol` termination condition is satisfied.,25,0.23254620800435077,0.8082353130079425,1.2372634354200422,0.03119884204188313,0.021965708464565848,-1.1485186838770094,nan,0.03735845992409934,2.697847271908276e-06,9.685594542618858e-06,0.0,False,True,False,True,True,True,True,0.0033486355377131466,2.748083604475812e-07,1.0407998505751877e-05,2.986476740256728e-05,0.003389183111981914,False,context
stronger_noise,102,2,20,0.2,0,20,False,The maximum number of function evaluations is exceeded.,45,0.7747419999941485,0.8082353130079425,1.2372634354200422,0.14518255138595831,nan,-1.0547795598484289,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,first_divergence
stronger_noise,102,3,30,0.3,0,30,False,The maximum number of function evaluations is exceeded.,45,1.112211791012669,0.8082353130079425,1.2372634354200422,0.23978358711148384,nan,-0.8358440755679264,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
stronger_noise,102,4,40,0.4,0,40,False,The maximum number of function evaluations is exceeded.,45,1.3370444589963881,0.8082353130079425,1.2372634354200422,0.3152928976836702,nan,-0.5781552311395375,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
stronger_noise,103,1,10,0.1,0,10,False,The maximum number of function evaluations is exceeded.,45,0.39871258300263435,1.0526315789473684,0.9500000000000001,0.7798073734245883,nan,7.778027581640432,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,first_divergence
stronger_noise,103,2,20,0.2,0,20,False,The maximum number of function evaluations is exceeded.,45,0.7685012920119334,1.0526315789473684,0.9500000000000001,1.645747842935022,nan,8.34454140997186,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
stronger_noise,103,3,30,0.3,0,30,False,The maximum number of function evaluations is exceeded.,45,1.1111002920079045,1.0526315789473684,0.9500000000000001,2.5023703349671296,nan,8.472790270798026,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
mass_mismatch,101,1,10,0.1,0,10,True,Both `ftol` and `xtol` termination conditions are satisfied.,28,0.2493746249965625,0.8348400971896163,1.197834176109142,0.003432370181412065,0.0009188269010317733,-0.018074523373989848,nan,0.06646888323909414,1.380047767689905e-07,3.562753145835984e-07,0.0,False,True,False,True,True,True,True,6.291002527667244e-06,5.269342024753649e-09,3.134165682015466e-08,0.00024754156630878843,0.00025386917983530056,True,first_divergence
mass_mismatch,101,2,20,0.2,0,20,True,`xtol` termination condition is satisfied.,28,0.5062699580012122,0.833275275114988,1.2000836096594907,0.004374715734343461,0.0022358360448739754,0.002174916090091905,0.0,0.06400879573266338,3.2194527693161793e-07,8.590028247670856e-07,0.0,False,True,False,True,True,True,True,0.00010247140587812027,2.3243848129772364e-07,2.2535852393391327e-07,1.2243340626219602e-09,0.00010293042721741453,True,context
mass_mismatch,101,3,30,0.3,0,30,False,The maximum number of function evaluations is exceeded.,45,1.1248915829928592,0.833275275114988,1.2000836096594907,0.004468135210633477,nan,-0.001182058038473599,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
mass_mismatch,102,1,10,0.1,0,10,True,Both `ftol` and `xtol` termination conditions are satisfied.,28,0.2508179580036085,0.8348400971896163,1.197834176109142,0.003432370181412065,0.0009188269010317733,-0.018074523373989848,nan,0.06646888323909414,1.380047767689905e-07,3.562753145835984e-07,0.0,False,True,False,True,True,True,True,6.291002527667244e-06,5.269342024753649e-09,3.134165682015466e-08,0.00024754156630878843,0.00025386917983530056,True,first_divergence
mass_mismatch,102,2,20,0.2,0,20,True,`xtol` termination condition is satisfied.,28,0.5086741660052212,0.833275275114988,1.2000836096594907,0.004374715734343461,0.0022358360448739754,0.002174916090091905,0.0,0.06400879573266338,3.2194527693161793e-07,8.590028247670856e-07,0.0,False,True,False,True,True,True,True,0.00010247140587812027,2.3243848129772364e-07,2.2535852393391327e-07,1.2243340626219602e-09,0.00010293042721741453,True,context
mass_mismatch,102,3,30,0.3,0,30,False,The maximum number of function evaluations is exceeded.,45,1.1288840420020279,0.833275275114988,1.2000836096594907,0.004468135210633477,nan,-0.001182058038473599,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
