method,input_source,condition,seed,planning_time_type,available,step,timestamp,mean_relative_error,max_relative_std,m_hat,k_hat,b_r_hat,m_relative_error,k_relative_error,b_r_relative_error,m_std,k_std,b_r_std
windowed_nls_current,ukf_filtered,noise,101,t0_nominal,True,0,0.0,0.24722222222222223,nan,0.95,360.0,12.0,0.20833333333333334,0.2,0.3333333333333333,nan,nan,nan
windowed_nls_huber,ukf_filtered,noise,101.0,first_confidence_threshold,True,60.0,0.6,0.2578165488225206,0.18568395226841744,1.1831792272690063,241.20576362661913,23.318012590515973,0.014017310609161412,0.46398719194084637,0.29544514391755405,0.009260674984078288,30.10763602416883,4.329780736851725
windowed_nls_huber,ukf_filtered,noise,101.0,first_valid_window,True,10.0,0.1,0.20534404332686065,0.6221041396757421,1.0519871440541158,312.75047527978955,14.621595488346205,0.12334404662157017,0.3049989438226899,0.18768913953632194,0.019864779101647672,73.93974096666737,9.096155081964328
windowed_nls_huber,ukf_filtered,noise,101.0,fixed_2s_diagnostic,True,200.0,2.0,0.2458227889116481,0.23710605907558033,1.2038093224078201,309.0251982296784,25.57829869429883,0.003174435339850142,0.3132773372673814,0.4210165941277128,0.014551936554172041,6.241567535815026,6.064769601263258
windowed_nls_huber,ukf_filtered,noise,101.0,t0_nominal,True,0.0,0.0,0.24722222222222223,nan,0.95,360.0,12.0,0.20833333333333334,0.2,0.3333333333333333,nan,nan,nan
windowed_nls_cauchy,ukf_filtered,noise,101.0,first_confidence_threshold,True,50.0,0.5,0.26656298083048774,0.19364398012287715,1.180079698621265,243.5619066138808,23.838072708720546,0.01660025114894585,0.4587513186358204,0.324337372706697,0.011643092054101507,29.199888710692086,4.616099277775182
windowed_nls_cauchy,ukf_filtered,noise,101.0,first_valid_window,True,10.0,0.1,0.19932033479044023,0.5917993913283575,1.0530262507910213,313.77714890530297,14.890222203238789,0.12247812434081555,0.3027174468771045,0.17276543315340062,0.01917343185661057,72.0401757326351,8.812024436620709
windowed_nls_cauchy,ukf_filtered,noise,101.0,fixed_2s_diagnostic,True,200.0,2.0,0.25243081318288857,0.22576279847951983,1.203509442617122,308.43335028317085,25.915956283945988,0.0029245355142683747,0.314592554926287,0.43977534910811045,0.014023299496270411,6.026928902408558,5.850858815936544
windowed_nls_cauchy,ukf_filtered,noise,101.0,t0_nominal,True,0.0,0.0,0.24722222222222223,nan,0.95,360.0,12.0,0.20833333333333334,0.2,0.3333333333333333,nan,nan,nan
windowed_nls_current,ukf_filtered,noise,102,first_confidence_threshold,True,30,0.3,0.21187207970019326,0.18087054494031043,1.2029684438584387,212.6380691051644,16.09791158985957,0.0024737032153656266,0.5274709575440791,0.10567157834113496,0.010473955347081603,37.850524694627964,2.91163804165884
